TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WR,YEAR
Kentucky,SEC,39,38,2.36050E+00,-2.94123E+00,1.91955E+00,5.23688E-01,-3.62253E+00,-1.13896E+00,1.19359E+00,2.41840E+00,7.05838E-01,1.69940E+00,-4.85020E-01,6.13920E-01,-3.07183E+00,2.61770E-01,-2.98468E+00,-1.36990E+00,3.03399E+00,9.74359E-01,2015
South Carolina,SEC,36,26,7.63770E-01,-2.17341E+00,1.62229E+00,-8.40610E-01,-1.58451E+00,-1.40918E-01,2.53224E+00,1.11327E+00,6.44011E-01,1.02841E+00,1.51599E+00,-9.44725E-01,-1.17253E+00,-2.87844E-01,-1.54763E+00,6.03118E-01,1.36145E+00,7.22222E-01,2017
Auburn,SEC,39,30,2.49815E+00,-1.22132E+00,1.75427E+00,1.46570E+00,5.57135E-01,-9.01332E-01,2.66610E+00,5.43755E-01,1.01498E+00,-6.58123E-01,2.49727E-01,7.60962E-01,6.36326E-01,1.43428E+00,1.76833E-01,5.06084E-01,2.00699E+00,7.69231E-01,2019
Florida,SEC,39,36,1.75484E+00,-2.26555E+00,1.81498E+00,7.51071E-01,-1.61906E+00,-5.68651E-01,1.19359E+00,1.42175E+00,-4.68883E-01,1.42738E+00,-5.63185E-01,6.43329E-01,-1.74534E+00,6.28180E-01,-5.62221E-01,-1.49928E+00,2.82859E+00,9.23077E-01,2014
Wisconsin,B10,38,30,2.69085E+00,-1.11383E+00,1.76250E+00,1.10839E+00,-9.97287E-01,-2.84989E+00,-1.48371E+00,-2.86784E-01,-6.54365E-01,1.48178E+00,-1.20413E+00,6.43329E-01,-1.02179E+00,1.25108E+00,-1.10577E-01,-1.24053E+00,2.27108E+00,7.89474E-01,2014
Syracuse,BE,40,30,1.35566E+00,-2.48054E+00,1.79853E+00,-2.88394E-01,-2.58625E+00,9.67110E-02,2.21988E+00,2.25229E+00,1.54051E+00,4.11829E-01,9.33982E-02,-1.80107E-01,-2.01666E+00,-2.87844E-01,-2.45092E+00,-7.55357E-01,1.86028E+00,7.50000E-01,2013
Wichita St.,MVC,39,30,1.02530E+00,-1.86629E+00,1.60741E+00,3.64388E-02,-1.65360E+00,3.34340E-01,6.13506E-01,2.06246E+00,-9.32589E-01,3.57425E-01,5.46753E-01,1.43386E-01,-1.71519E+00,-1.04639E-01,-8.90690E-01,-8.84735E-01,1.43481E+00,7.69231E-01,2013
Duquesne,A10,30,11,5.29767E-01,1.31246E+00,-4.50646E-01,4.26238E-01,5.57135E-01,-1.88444E-01,-1.17136E+00,5.67485E-01,1.16954E+00,-3.67967E-01,-1.56729E-01,1.13977E-01,-4.79136E-01,7.38103E-01,1.69600E+00,-4.37750E-02,-5.45832E-01,3.66667E-01,2015
Fordham,A10,30,9,-2.96127E-01,-2.35335E-02,-1.92165E-01,-1.03551E+00,3.89941E-02,1.66506E+00,3.34250E-02,9.70890E-01,-5.17715E-03,-2.59158E-01,1.07827E+00,-3.85965E-01,9.36690E-02,-1.60692E+00,-1.10577E-01,-5.93634E-01,-6.92547E-01,3.00000E-01,2015
George Mason,A10,30,8,-2.68597E-01,9.93168E-02,-2.60310E-01,-1.42531E+00,-3.00913E-02,1.52249E+00,-5.58182E-02,1.56413E+00,2.73046E-01,1.19162E+00,1.54726E+00,-1.23881E+00,-2.68102E-01,-9.47381E-01,3.82125E-01,-8.84735E-01,-7.36561E-01,2.66667E-01,2015
George Washington,A10,35,22,5.57296E-01,-1.06776E+00,1.10220E+00,-3.20877E-01,-1.44634E+00,1.65929E-03,-1.45061E-01,1.46921E+00,4.27615E-01,9.74007E-01,-9.22742E-01,-5.33007E-01,-1.32327E+00,3.71693E-01,-1.01387E+00,-1.62866E+00,7.74595E-01,6.28571E-01,2015
La Salle,A10,33,17,-5.85190E-01,-1.57452E+00,7.02336E-01,-1.03551E+00,-1.48089E+00,5.71969E-01,6.58128E-01,6.91616E-02,3.96701E-01,3.39290E-01,-6.29311E-02,-8.85908E-01,-1.26297E+00,-7.64177E-01,-1.13704E+00,-9.49425E-01,1.87738E-01,5.15152E-01,2015
Massachusetts,A10,32,17,1.85644E-01,-3.76728E-01,4.33281E-01,-8.40610E-01,-4.79147E-01,8.57124E-01,-5.02034E-01,1.11327E+00,5.51270E-01,1.42738E+00,6.21323E-02,-2.09515E-01,-6.60021E-01,-1.68020E+00,2.58950E-01,2.09143E-02,3.93138E-01,5.31250E-01,2015
Rhode Island,A10,32,22,-1.44713E-01,-1.86629E+00,1.15899E+00,-3.20877E-01,-2.13720E+00,9.99702E-01,1.41669E+00,7.09863E-01,-9.79183E-02,2.31598E+00,1.75049E+00,2.90428E-01,-1.29312E+00,-1.35043E+00,-2.90256E+00,-5.93634E-01,9.50652E-01,6.87500E-01,2015
