"","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR","YEAR"
"125",-0.0285278,-0.340976,-0.948857,-1.79606,1.94381,-0.716193,-0.513045,-0.48502,0.583333,2016
"126",0.653622,-1.86085,-0.758754,1.32745,2.1811,-0.0979183,-0.49491,0.890677,0.741935,2016
"127",-0.450811,0.177165,-1.23401,-1.61757,1.65905,0.273046,0.79266,-0.797678,0.484848,2016
"128",0.0364388,-0.375518,-0.331022,-0.323548,0.235269,0.705838,2.69681,-0.203627,0.571429,2016
"129",-0.158461,-0.202805,0.667021,-1.52833,0.804782,0.520356,1.57246,0.593652,0.354839,2016
"130",0.556172,1.07528,0.667021,-0.635899,-0.880026,-1.6436,-0.893876,0.749981,0.28125,2017
"131",0.393755,0.62622,-1.37659,0.658128,0.496296,0.829493,-0.0415407,-1.67312,0.515152,2017
"132",-0.808127,-1.4118,0.286814,0.0780467,-0.381702,0.396701,0.230481,-1.15724,0.583333,2017
"133",0.913488,0.522592,-0.0933924,-1.34984,0.116621,0.582183,0.30302,-0.688248,0.46875,2017
"134",0.491205,0.418964,-0.521125,-1.92993,-0.263054,-0.00517715,0.883333,-1.2823,0.484848,2017
"135",1.17335,0.0735368,-0.331022,0.479641,0.543755,1.54051,0.103538,-0.875843,0.558824,2017
"136",0.718588,0.591677,-0.23597,-0.457413,0.18781,-1.08716,-0.694393,-1.20413,0.542857,2018
"137",-0.970544,-0.306433,0.239288,0.122668,0.353918,0.334874,0.0491333,-0.469387,0.40625,2018
"138",0.621138,-1.06637,-0.948857,0.122668,-0.168135,0.582183,-0.476776,-0.86021,0.611111,2018
"139",0.393755,-0.27189,-1.89937,-0.992872,0.425107,-0.221573,-0.639989,-1.90762,0.6,2018
"140",-0.548261,0.00445143,1.04723,-0.903629,-1.56819,1.63325,-0.476776,-0.547552,0.25,2018
"141",0.198855,0.488049,0.0491851,-0.502034,0.282729,-0.561624,-0.476776,0.656183,0.354839,2018
"142",-0.450811,-0.582775,-0.568651,-0.903629,-0.168135,0.613097,0.0854029,-0.844577,0.451613,2019
"143",0.263822,-0.859116,0.476918,0.524263,-0.357973,-1.55086,-0.186619,-0.75078,0.588235,2019
"144",-0.223428,-1.51543,1.09475,0.033425,-0.951215,0.644011,-0.0415407,-0.000399365,0.4375,2019
"145",0.296305,0.660763,-0.853806,0.524263,-0.808837,0.087564,-0.676258,-1.89198,0.4375,2019
"146",0.686105,-0.237348,-0.663702,1.28283,1.58786,-0.221573,-1.09336,0.624918,0.666667,2019
"147",-1.19793,-0.375518,-2.23205,-0.992872,-0.0732165,0.489442,-0.803202,-2.03268,0.424242,2019
"148",-0.645711,-0.824574,0.429392,1.19359,0.662404,1.01498,1.40924,-0.297425,0.424242,2019
"149",-1.65269,1.10982,0.33434,-1.12674,1.08954,-0.685279,0.556907,0.0621323,0.354839,2019
"150",-1.71766,0.764391,1.37991,0.791992,-0.737648,0.922234,0.955873,-0.156729,0.166667,2015
"151",-0.84061,0.10808,0.144237,1.0151,-0.951215,-0.00517715,-0.857606,1.1408,0.448276,2015
