"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","YEAR","WR"
49,51.9,19.2,17.8,25.9,29.7,30,28.4,2018,0.517241379310345
49.4,54.2,19.2,18.8,29.6,33.6,35,32.9,2018,0.357142857142857
49.8,53,18.5,20.3,30,28.6,32.9,33.7,2018,0.5
53.6,54,19.3,13.7,25,35,27.7,23.5,2018,0.466666666666667
48.9,54.6,14.9,18.5,23.2,27.5,25,37,2018,0.428571428571429
50.1,59.5,16.1,15,27,30.8,21.6,36.1,2018,0.25
52.6,52.1,21.2,19.2,25.6,30.8,31.9,27.4,2019,0.466666666666667
49.6,52.1,19.9,18.2,28.3,27.4,30.5,28.8,2019,0.4
40.9,53.7,19,17.1,29.2,30.8,30.1,27.7,2019,0.166666666666667
54.8,48.4,17.8,19.6,26,23.8,36.3,27.9,2019,0.828571428571429
50.7,49,17.1,17.9,21.9,27.1,38.4,29.7,2019,0.647058823529412
44.5,52.6,19.3,17.2,27.3,25.1,30.8,38,2019,0.344827586206897
52.1,48.1,21.8,16.9,29.4,32.7,25.3,30.6,2019,0.516129032258065
45.5,54.5,17.5,18,27.9,32,25,33,2019,0.241379310344828
47.6,48,15.2,19.7,30.2,28,31.2,30.4,2015,0.575757575757576
49.4,50.9,15.6,19.4,25.5,31.2,26.6,26.7,2015,0.483870967741935
52.1,50.8,17.7,24.2,30,33.4,32.9,34.5,2015,0.53125
46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,2015,0.419354838709677
50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,2015,0.46875
48,45.3,18.2,17.8,29.7,31,34.7,41.5,2015,0.529411764705882
43.6,49.8,20.1,18.1,30.5,31.4,32.6,32,2015,0.3125
50.2,53.6,14.9,19,21.5,28.1,30.5,26.5,2016,0.441176470588235
45.9,51.7,16.5,17.8,26.5,29.2,37.1,34.2,2016,0.258064516129032
50.3,50.1,17.4,19.7,31.8,28.1,32.6,39.7,2016,0.470588235294118
52.5,46.5,15.8,16.4,30.5,28.3,28.4,35,2016,0.625
49.4,46.6,18.8,17.1,30.2,29.1,36,30.4,2016,0.6
46.6,48.8,16.9,17.6,28.7,29.4,34.5,42.5,2016,0.5
45.8,52,18.9,16.1,25.3,35.9,34.5,29.7,2016,0.193548387096774
50.6,49.9,18.3,18.5,28.6,26.3,32.5,30.1,2017,0.588235294117647
55.2,48.7,21.4,15.7,36.4,28,34.1,36.8,2017,0.529411764705882
52.5,51,18.6,19.1,31.8,32.3,34.9,27.5,2017,0.558823529411765
46,52,18.6,19.3,33.7,29.9,30,33.3,2017,0.4
52.2,48.9,19.2,17.5,29.7,28.8,38.1,29.4,2017,0.53125
47.2,49.2,17.9,20.3,26.6,30.6,32.8,31.2,2017,0.454545454545455
44.7,47.5,19.7,18.9,37.5,30.1,31.2,31.2,2017,0.46875
49.8,53.3,18.8,23.2,34,31.3,33.1,47.9,2018,0.451612903225806
51.1,50.8,18.2,19.7,31.8,29.5,36.4,32.2,2018,0.516129032258065
54.3,53.1,18.7,15.5,34.1,28,35.4,28.1,2018,0.424242424242424
54.3,47.5,20.4,16.3,31.4,28.2,37.9,24,2018,0.612903225806452
48.7,50.5,15.5,16,30,29.5,35.1,27.1,2018,0.46875
49.1,47,16,18.3,30.1,34,37.6,26.5,2018,0.666666666666667
49.5,51,17.8,19,29.4,27.7,29.1,37,2018,0.483870967741935
52.6,48.3,17.3,19.5,31.7,28.2,31.5,32.1,2018,0.666666666666667
43.6,48,17.2,20.5,33.3,29.1,30.5,30.8,2018,0.454545454545455
50.9,51.2,16.8,18.4,28.4,27.7,32.7,30.2,2018,0.454545454545455
49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,2019,0.363636363636364
51,48.2,17.9,18.1,28.1,28.1,34.6,29.2,2019,0.542857142857143
49.2,48.1,14.3,19.3,28.5,32.1,33,30,2019,0.542857142857143
46.6,46.7,16.1,17.9,24.2,26.3,30.2,34,2019,0.40625
47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,2019,0.4375
47,49.2,19.1,17.4,33.4,27,31.7,32.4,2019,0.451612903225806
47.8,49.7,20.9,20.2,34,31.4,46,41,2015,0.46875
47.9,44.1,18.4,20,37.5,33.4,46.5,48,2015,0.545454545454545
45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,2015,0.40625
47.6,49,20.3,20.8,37,31,42.5,40.4,2016,0.515151515151515
48.3,47.1,19.1,17.5,28.8,32.3,38.3,40.9,2016,0.3125
45.7,50.9,20.7,21.1,29.3,31.5,45.6,41.4,2016,0.363636363636364
47.4,50,19,18.5,30.8,29.8,36.7,33.5,2017,0.354838709677419
52.7,50.4,18.8,18.7,34.1,29.3,32.2,30.9,2017,0.631578947368421
48.8,48.1,19.6,18.3,28.4,31.2,34.5,30,2017,0.333333333333333
52.9,50.8,16.5,20.3,30,25.7,35.6,35.6,2017,0.5625
51.8,47.7,19.8,17.2,35.5,29.7,32.2,30.2,2018,0.575757575757576
49.9,51,17,16.4,29.5,30.6,29.8,26.5,2018,0.419354838709677
49.8,50,18.1,20.3,34.2,31.1,32.2,35.6,2018,0.583333333333333
50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,2019,0.375
52.1,48.4,19.2,18.6,31.2,28.7,31.7,27.7,2019,0.621621621621622
50.9,48.7,16.2,18.9,28.1,29.5,29.7,29.7,2019,0.567567567567568
47.5,52.4,21.3,18.5,36.9,28.7,38.9,38,2019,0.416666666666667
49.4,50.5,18.4,17.1,31.3,28.1,36.3,33.4,2015,0.424242424242424
50.7,50.8,19.8,18.8,27.4,35.5,36.5,48.7,2015,0.375
49.8,49.2,19.3,21,29,36.4,35.8,30.3,2015,0.40625
48.2,47.7,18.7,18,34.7,33.2,38.1,38,2015,0.516129032258065
53.8,49,16.1,17.5,27.3,26.1,37.5,33.5,2016,0.571428571428571
49.4,51.4,21.5,17.8,30.7,29.9,36.5,44.8,2016,0.290322580645161
51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,2016,0.454545454545455
52,48.7,20,19,28.1,30.7,40.5,28,2016,0.606060606060606
45.4,51.1,20.9,20.1,27.5,30.9,38,43.3,2016,0.225806451612903
48.1,53.8,20.4,20,29.9,30,35.6,40.2,2017,0.28125
52,47.4,20.1,17.3,29,30.5,42.6,38.8,2017,0.4375
50.3,52.4,17.7,20.5,27.4,32.8,36.2,39.3,2017,0.424242424242424
47.9,52,19.4,20.2,32.9,28.1,29.4,32.3,2018,0.354838709677419
51.8,50.8,20.7,17,31.3,26,38.3,28.3,2018,0.5
56.8,53.8,17.3,18.1,27.6,29.6,28.8,38.9,2018,0.6
49.2,50.3,16.4,22.2,23.6,32,30.4,34.4,2018,0.5
52.1,52.7,16.1,18.9,25.7,27.6,25.2,36.3,2019,0.484848484848485
56.2,52.8,18.6,19.1,24.7,26.8,29,27.9,2019,0.588235294117647
52.7,53.2,18.8,17.7,32.7,25.6,36.1,30.9,2019,0.527777777777778
51,50.2,17.9,16.3,29.1,26.2,38.2,30.3,2019,0.575757575757576
