TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
West Virginia,46.8,50.6,18.2,22.5,30,33.6,36.1,34.1,2022,0.485
Virginia,49.7,48.8,16.1,18.3,27.8,28.8,28.1,23.3,2022,0.600
Vanderbilt,50.2,48.5,18.9,20.7,27.5,27.7,38.7,34.9,2022,0.528
BYU,51.8,47.7,18.4,15,30.6,22.5,27.2,31.1,2022,0.727
Santa Clara,54.5,48.5,16.2,16.5,23.4,26.2,27.6,21.2,2022,0.636
Northern Iowa,53,53.9,16.2,18,20.8,21.8,33.2,22.7,2022,0.645
DePaul,48.8,48.8,17.4,16.8,31.7,28.5,33.4,26,2022,0.484
Stephen F. Austin,51.3,49.2,22.3,24.4,34.5,32.2,36.5,37.4,2022,0.786
Sam Houston St.,48.3,48.6,18.5,20.8,30.6,26.3,25,34.7,2022,0.633
UC Riverside,50.7,47.1,18.4,16.1,22.4,22.4,26.9,28.2,2022,0.615
UNC Greensboro,49.8,50.4,20.1,18.6,32.4,25.2,27.5,28.6,2022,0.548
Bellarmine,53.3,54.4,15,17.7,22.4,30.5,22.1,30.2,2022,0.690
Long Beach St.,48.8,52.1,17.9,19.9,27.1,27.2,38.1,27.7,2022,0.645
Old Dominion,46.9,49.7,18.4,17.1,32.3,27.3,34.3,29.4,2022,0.419
Campbell,51.3,50.6,16.4,18.3,22.2,26.1,26.3,27.6,2022,0.615
Alcorn St.,45.9,50.9,20.3,19.1,31.9,27.9,32.5,36.8,2022,0.500
Mississippi St.,49.6,49.6,19.5,19.4,34.1,25.7,38.1,28.3,2022,0.529
Kansas St.,49.4,49.5,16.9,19.8,25.2,28.3,29.6,32,2022,0.452
Fresno St.,51.1,47.7,17.7,19.4,27.3,22.9,31.2,27.2,2022,0.657
Saint Louis,50.6,48.2,18.7,18,33.8,26.5,32.7,32.4,2022,0.676
Tulane,51.2,49.6,15,20.3,20.1,32.8,33.4,28.5,2022,0.483
Clemson,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,2022,0.515
Oregon,51.1,49.6,17.1,19.2,29.9,31.1,29.7,29.1,2022,0.588
Furman,55.6,51.5,15.7,19.1,27.4,28.1,23.3,24.6,2022,0.667
Missouri St.,54.6,48.8,15.5,15.7,25.8,24,27.7,28,2022,0.697
Towson,51.6,47.9,17.9,19.5,35.7,26.5,33.9,31.9,2022,0.735
Drake,51.4,49.3,15.9,19.4,30.2,25.9,27.3,33.5,2022,0.735
Arizona St.,47.1,46.3,17.3,19.6,24.9,30.3,21.2,32.3,2022,0.452
Maryland,49.4,50.2,16.8,16.1,27.2,27.6,33.9,24.6,2022,0.469
Colorado,50.4,48.1,19.7,17.5,29.9,24.4,34.7,27,2022,0.636
UNLV,49.1,48.4,17,17.2,27.1,25.9,30.7,30.8,2022,0.581
Northwestern,49,50.8,14.1,19.3,25.6,25.1,25.1,34.8,2022,0.500
St. Bonaventure,50.5,50.3,15.5,19.1,26.9,27.5,25.9,22.2,2022,0.697
Wichita St.,46.7,47.3,18.7,20.1,32.3,28.3,31.7,30.4,2022,0.536
Iona,50.7,46.6,17.9,19,31.8,29.8,37.3,33.8,2022,0.758
Belmont,55.7,49.4,16.8,20.9,24.4,27.8,25.9,23.5,2022,0.781
Grand Canyon,49.9,43.5,19.2,18.6,34.8,28.4,31,33,2022,0.793
Penn St.,50.5,48.3,18.6,13.8,28.6,24.1,21.8,26.2,2022,0.452
Cincinnati,46.9,45,15.2,17.9,30.1,29.6,29.6,34.5,2022,0.563
Middle Tennessee,51.4,47.2,18.9,20.3,30,29.2,34.2,36.5,2022,0.743
UCF,49.9,48.7,19.1,20.7,30.8,30.8,28.5,29.8,2022,0.600
Toledo,53,47.2,14.7,15.3,30.4,27.4,28,22.9,2022,0.788
Mississippi,49.6,51.4,18,19.4,26.7,26.6,28.7,28,2022,0.406
Louisiana Tech,51.9,48.2,16.9,19.3,26.1,28.1,31.1,28.1,2022,0.774
Bradley,51.1,46.9,19.9,18.2,31.9,23.5,27.3,30.2,2022,0.567
Florida St.,49,52.2,18.1,21,31.7,31.1,30.3,30.4,2022,0.548
South Carolina,47.3,47.3,21.4,21.5,33.6,32.1,29.2,41.6,2022,0.600
Washington,46.4,49.9,16.7,22.1,29.3,35.6,34.7,30.1,2022,0.531
Temple,45.4,45.5,18.5,17.2,32.7,29.3,39.7,31.7,2022,0.586
Princeton,56.7,51.3,14.5,15.5,24.8,23.5,21.3,21.7,2022,0.821
Minnesota,50.7,51.2,14,15.8,17.7,27.5,23.6,23.3,2022,0.433
Boston College,47.8,51.5,17.9,18.7,29.9,25.7,29.6,31.5,2022,0.394
Hofstra,53.4,54.4,14.7,20.4,23.3,26.9,21.7,26.3,2022,0.700
Nebraska,50.3,51.5,17.1,18.3,20.6,31.4,33.3,29.4,2022,0.313
Abilene Christian,48.4,52,17.6,27.9,27.8,30.9,39.3,49.1,2022,0.781
Stanford,49.8,51.4,22.3,16.4,33.8,22.9,29.9,29,2022,0.500
Utah Valley,50.6,45.4,22.1,15.6,32,24.5,38.1,28.3,2022,0.667
Butler,47.1,49.9,18.2,17.1,27.1,27.4,30.2,30.2,2022,0.452
Louisville,48.8,50.3,18,16.3,27.3,24.9,25.1,30,2022,0.406
Morehead St.,52.4,46.5,20.4,17.3,30.7,29.5,29,23.7,2022,0.742
North Carolina St.,47.9,53.4,14.5,18.3,30.3,31,29.1,29.4,2022,0.344
George Mason,53,49.6,18,17.2,24.9,23.8,29,29.6,2022,0.467
Liberty,55.5,48.3,18,17.1,22.2,22.8,28.4,31.4,2022,0.733
Utah,48.4,49.4,18.1,15.2,29.3,29.2,30,28.6,2022,0.355
Nevada,50.6,52.4,18.4,18.3,24.5,26.1,32,29.7,2022,0.433
Western Kentucky,52.8,50.7,17.6,19.9,25.1,30.4,31.3,16.5,2022,0.633
Southern Illinois,51.5,49.7,18.1,18.7,23.2,23.3,29.1,27.6,2022,0.533
Wofford,53.9,53.8,17.7,19.7,26.9,22.2,28.2,28.6,2022,0.633
College of Charleston,50.3,51.2,20.9,19.1,35.7,25,30.4,37.6,2022,0.531
Texas St.,51,50.7,18.8,21.8,30.8,29.3,32.9,34.4,2022,0.808
Kent St.,49.8,49,18.5,19.5,30.8,26.4,32.6,36.4,2022,0.719
Florida Atlantic,53.3,50.8,19.6,19.5,31.1,26,28.8,32.1,2022,0.613
California,46.9,47.5,17.1,14.7,25.5,23.4,25.3,31.5,2022,0.375
Georgia Tech,49.6,50.1,18.9,18.8,25,28.1,25,31.5,2022,0.387
Rhode Island,50.6,46.3,20.8,19.3,28.6,27.6,36.1,32.7,2022,0.500
UC Santa Barbara,53.5,48.1,19.3,19.5,28.4,27.2,37.2,30.4,2022,0.654
Seattle,48.3,46.4,16.3,20.5,26,25.6,28.8,40.5,2022,0.767
Drexel,52,50.4,16.4,16.2,25.6,26.1,25.4,26.1,2022,0.536
Buffalo,51.6,48.2,18.6,15.8,37,27.9,25.6,29.4,2022,0.679
UC Irvine,47.6,44.1,20.6,17.2,29.9,27.6,29.7,31.2,2022,0.652
Saint Joseph's,49.7,47.7,19.6,13.7,27,24.1,22.9,26.9,2022,0.367
Ohio,50.6,50,15.4,20.4,27.1,26,31.5,28,2022,0.735
Gardner Webb,49.9,45.5,20,19,26.9,26.3,28.5,36.3,2022,0.643
Jacksonville,48.6,47.2,18.6,16.4,33.6,23.4,30.5,30.8,2022,0.778
Missouri,47.1,50.8,21.6,17.9,31.4,29.7,29.9,35.6,2022,0.375
Appalachian St.,48.4,49.8,16,17.9,26.3,26,27.6,21.7,2022,0.613
New Mexico,49.4,52,16.1,18,24,29.1,32.8,35.6,2022,0.433
UTEP,49.2,49.9,16.7,20.5,22.6,29.5,27.8,37.2,2022,0.625
UNC Wilmington,48.1,50.5,14.6,19.9,28,31.8,34.4,34.8,2022,0.794
Wagner,49.9,48.1,18,22.3,33.5,27.5,32.1,39.3,2022,0.808
Tulsa,49.6,52.2,19,20.1,26.7,30.1,31,29,2022,0.355
Mercer,52.9,52.8,18.3,15.8,24.5,26.5,29.3,28.5,2022,0.516
Coastal Carolina,49.9,46.5,20.3,17.3,32.7,28.7,31.1,25.5,2022,0.655
Portland,50.2,50.1,18.3,17.4,23.9,27.7,33.5,26.2,2022,0.594
South Alabama,52,47.6,19.3,20.8,26.9,31.3,30.6,30.7,2022,0.724
North Dakota St.,51.8,47.6,17,12.7,24.8,23.1,33.4,25.5,2022,0.742
East Tennessee St.,51.8,53.1,17,16.6,30.6,31.1,21.7,26.1,2022,0.500
Samford,51.8,52.1,19.3,17.8,30.1,29,28.9,32,2022,0.724
East Carolina,47.1,50.5,18.7,18.5,27.6,28.5,33.5,31,2022,0.500
Cleveland St.,53.2,49.4,19.6,21.8,33.9,31.9,36.1,34.2,2022,0.690
Monmouth,47.5,47.3,17.3,17.8,29.4,27.9,36.9,33.6,2022,0.618
Georgetown,46.2,53.6,18.8,18,32.3,29.9,29,27.6,2022,0.194
VMI,55.3,51.1,16.9,14,22.7,29.6,26.3,25.3,2022,0.552
Louisiana Lafayette,48.6,46.9,22,18.4,33.6,27.6,35.5,35.5,2022,0.552
Hawaii,50.4,46.9,19.7,15.9,29,25.1,32.5,31.7,2022,0.654
Northern Kentucky,49.5,49.5,19.9,21.1,36,31,26.6,25,2022,0.667
Winthrop,56.4,51,21.2,19.3,25.3,27.5,37.5,33.5,2022,0.793
Oakland,49.1,50.2,18,20.5,30.7,33.4,34,21.5,2022,0.667
Southern Utah,52.6,51.7,17.4,17.2,27.8,22.5,33.4,27.6,2022,0.697
Fordham,45.7,47.9,18.9,19.6,27.2,26.3,29.7,30.4,2022,0.500
Cornell,53.5,51.1,19.6,18.1,26.1,28.1,32.2,31.3,2022,0.625
Navy,47.5,47.3,19.9,20.4,33.8,24.8,30.8,31.7,2022,0.677
Oral Roberts,53.9,51.1,13.2,12.7,26.6,24.7,23,24.8,2022,0.679
Florida Gulf Coast,53.3,50.5,18.9,15.8,29.9,27.4,29.1,24,2022,0.688
Charlotte,52.9,52.6,17.2,16.9,22.7,25.6,28,26.5,2022,0.548
Massachusetts,51.3,55.2,16.6,18,29.3,29.7,32.8,29.3,2022,0.469
Georgia,50.2,54.6,20.7,15.7,25.8,30.1,39,24.1,2022,0.188
Weber St.,53.5,52.3,16.3,20.2,20,24.9,37.8,26.9,2022,0.677
Pittsburgh,46.7,52,21.2,16.5,30.5,26.1,39.4,29.4,2022,0.344
Tarleton St.,46.3,52.4,18.2,24.7,27,34,33.7,35.6,2022,0.500
Illinois St.,51.8,51,19.5,17.2,28.5,29.8,31.3,31.9,2022,0.419
UMKC,52.3,52,15.6,21,21.5,26.6,31.6,44.4,2022,0.704
Arkansas St.,49.3,49.2,20.6,19.3,29.4,28.4,34.5,28.2,2022,0.692
Indiana St.,50.6,51.7,19.2,15.8,17.3,22.5,26.4,26.2,2022,0.393
Troy,47.6,48.5,22.1,20.3,31.6,27.6,34.9,34.5,2022,0.690
Nicholls St.,52.1,48.3,17.3,19.7,29.6,30.6,21.6,36.3,2022,0.724
Loyola Marymount,51.9,54.7,19.2,18.1,24.4,27.3,31.1,31.9,2022,0.393
Valparaiso,51,52.3,16.5,16.5,20.3,24.8,26.9,22.6,2022,0.467
UC Davis,48.6,47.3,17.9,19.2,26.2,28.9,29.4,36.9,2022,0.591
Fort Wayne,53.1,53.4,19.2,21.6,22.4,27.1,27.4,25.9,2022,0.677
Niagara,49.3,48.2,16.7,17.1,23.1,27.1,28.1,28.8,2022,0.483
Fairfield,49.3,48.1,16.8,17,27.4,27.7,26.6,31.2,2022,0.469
Harvard,49.6,52.1,17.5,20.7,25.2,23.8,24.5,32.6,2022,0.565
UNC Asheville,50.5,49.9,18.2,19,26.6,33,37.1,27.4,2022,0.586
South Dakota,52,52.7,15.1,15.5,26.5,22.4,34.1,34.2,2022,0.655
Oregon St.,49.2,55,18.2,17.5,26.2,34,27.6,29.1,2022,0.097
Northern Colorado,56.2,52.9,17.1,13.9,21.9,24.6,30.8,30.1,2022,0.629
James Madison,51.1,53.3,17.7,20.6,25.9,31.5,30.6,27.5,2022,0.556
Cal Baptist,49.9,48.2,20.4,17.4,28.1,27.8,36.8,33.8,2022,0.581
Penn,51.3,52.1,17,15.3,25.4,28,24.1,28.8,2022,0.429
San Diego,46.7,49.2,18.6,16,26.3,26.4,25.5,23.7,2022,0.517
George Washington,48.9,49.6,17.9,18,23.2,31.1,26,29.2,2022,0.400
Rider,45.6,49.2,17.3,18.4,29.4,28.3,27.2,33.2,2022,0.438
Detroit,52.6,54.4,17.9,19,27.9,29.7,22.8,30.5,2022,0.483
Dartmouth,48.2,50.8,17.4,19,23.6,26.6,24.5,28.4,2022,0.375
Marist,50.4,48.3,18.2,16.7,26.4,27.1,25,28.5,2022,0.467
Brown,49.4,51.1,19.1,19.5,28.2,28.1,31.6,33.2,2022,0.481
La Salle,47.8,50,19,16.7,29,27.4,25.1,31,2022,0.367
Boston University,51.9,50.9,18.2,16.5,30.9,24.2,28.8,29,2022,0.647
Southeast Missouri St.,51.6,52.4,17.8,18.1,25.8,28.9,36.7,39.6,2022,0.467
High Point,48.9,49.5,19.5,17.7,27.4,30.2,33.9,35.3,2022,0.483
Kennesaw St.,51.8,53.1,17.4,18.2,28.7,27.9,29.7,35.3,2022,0.481
Northeastern,50.1,51.7,21.2,15.7,26.3,23.7,30.6,25.6,2022,0.290
Eastern Washington,52.9,50.4,18.5,15.6,25.3,26,32.9,31.5,2022,0.563
UT Arlington,45.7,49.4,20.3,20.3,30.5,31.7,29.7,32.3,2022,0.407
Southern,49.2,49.2,20.4,25.2,27.5,31.1,33.6,45.7,2022,0.586
Marshall,49.4,52,18.1,17.8,27.3,28.1,24.3,28.3,2022,0.387
Stony Brook,50.3,52.6,15.5,17.4,27.4,29.7,27.7,23.8,2022,0.600
South Florida,41.3,48.3,19.1,18.9,29.8,27,25.4,33.6,2022,0.258
Quinnipiac,50,50.6,18.7,17.2,28.6,28.6,27,27.2,2022,0.467
UMBC,52.6,52.8,16.2,16.6,21.9,28.8,31.1,19.7,2022,0.581
Siena,48.7,49.1,18.4,17.3,24.5,28.5,28.9,29.2,2022,0.517
New Hampshire,50.9,50.4,14.8,14,27.9,21.9,25.4,26.6,2022,0.577
Rice,52.9,50.8,18.4,14.3,26.1,28.2,31.2,21.1,2022,0.516
LIU Brooklyn,48.4,48.5,18.5,18.2,30.6,29.7,30.4,29.7,2022,0.552
Youngstown St.,51,51,17.3,17.1,29.8,28.3,30.4,30.3,2022,0.594
The Citadel,52,50.4,17.1,13.8,23.7,29.4,29.9,26.3,2022,0.464
Montana,50.2,51.8,15.7,19.1,18.1,26.8,38.5,42.8,2022,0.621
Howard,50.4,49.4,20.7,23.5,28,34.5,36.2,33.9,2022,0.615
Ball St.,51.3,52.4,19.5,17.1,26.8,28.3,38.1,32.8,2022,0.467
Georgia Southern,47.8,48.2,21.1,18.9,27.7,31,31.6,35.5,2022,0.500
Tennessee Tech,49.2,51.5,18.9,18.1,30.9,30.5,24,24,2022,0.367
Elon,49,50.6,19.9,16.6,25.4,28.8,25.9,43.8,2022,0.333
Lipscomb,52.3,51.5,19,14.1,22.7,28,33.9,22.7,2022,0.467
Mount St. Mary's,48.6,48.6,20.1,18.9,31,29.1,26.3,26.2,2022,0.483
Miami OH,50.3,53.5,15,18,26,30.2,23.7,30.4,2022,0.483
Western Illinois,49.6,52.9,15.9,17.3,28.8,22.7,29.4,31.4,2022,0.533
Portland St.,47.1,52.7,17,23.4,26.1,31.8,31.6,39.4,2022,0.483
Eastern Kentucky,48.4,54.6,15.6,22.3,28.7,31.8,21.7,28.1,2022,0.481
Tennessee St.,49,50.1,19.8,19.7,29.7,28.6,30.4,39.2,2022,0.467
Pepperdine,47.5,52.7,20.4,18,26.3,31,23.9,31.5,2022,0.226
Air Force,50.9,51.5,21.5,20.3,19.6,29.4,26.8,38.9,2022,0.379
Louisiana Monroe,50.2,52.9,18.9,19.4,24.7,33.4,26,34.7,2022,0.464
USC Upstate,51.3,51.6,18.7,17.8,22.3,30.8,29,38.3,2022,0.500
North Florida,48.1,48.8,21.6,16.7,25.2,36.9,30.4,28.7,2022,0.393
UC San Diego,52,52.7,18.9,17.2,18.6,27.6,32.7,22,2022,0.481
Manhattan,48.3,52.2,20.5,19.9,30,30.9,41.4,34.7,2022,0.517
Presbyterian,45.4,53.5,19.5,21.1,33.1,24.6,30.2,40.7,2022,0.414
Southeastern Louisiana,51.8,53.7,20,19.6,25.9,33.2,38.8,27.3,2022,0.633
Bowling Green,48.6,53.5,16.5,17.3,29.9,30.7,31.9,30.8,2022,0.448
UMass Lowell,48,48.9,18.3,19.5,29.2,29.9,26.5,32.5,2022,0.536
Radford,46.5,52,20.6,20.2,28.9,26,27.8,37.4,2022,0.407
San Jose St.,49.7,53.5,20,15.7,22,30.5,22.5,27,2022,0.267
Utah Tech,46.5,50.9,21,17.8,26.7,28.9,35.2,30.7,2022,0.481
Illinois Chicago,51.1,51.6,17.2,16.8,25,27.2,22.9,34.2,2022,0.483
FIU,49.9,50.2,20.1,18.5,27,29.8,24.6,31.4,2022,0.500
Pacific,46.2,54.9,17.4,18.7,22.6,22.6,32.3,28.1,2022,0.286
Prairie View A&M,48.4,51,24,20.6,31.7,34.2,38.5,44.8,2022,0.296
Canisius,45.4,51.5,16.9,17.8,28,26.3,30.2,32.2,2022,0.355
Hartford,53.3,51.6,18.2,16.5,23.8,28.4,27.6,28.9,2022,0.375
North Carolina A&T,46.6,51,18.1,19.9,29.2,30.8,28.2,37.8,2022,0.414
Austin Peay,46.6,52.5,21.3,20.9,29.5,30.4,25.7,36.1,2022,0.444
St. Thomas,52,58.9,12.6,16.1,20.7,27.1,23.7,32.5,2022,0.370
Jackson St.,45.3,47.7,19.9,18.3,31.4,27.9,26.5,36.6,2022,0.367
Duquesne,45.4,54,16.9,19,29.2,31.5,21.9,21.9,2022,0.200
New Orleans,49.4,50.1,19.3,19.7,26,30.8,42,32.8,2022,0.621
SIU Edwardsville,46.7,49,21.6,19.2,31.1,30.6,34.5,37.6,2022,0.367
Loyola MD,50.4,51.4,19.5,20.6,25.2,26.1,25,30.7,2022,0.483
Army,48.8,52.8,18.9,19.4,29.8,27.2,32.1,22.9,2022,0.517
Central Arkansas,48.2,54.8,18.8,16.4,26.2,30.9,23.1,29.8,2022,0.379
Cal St. Bakersfield,44.4,51.4,18,20.1,32,26.1,29.5,48,2022,0.320
Tennessee Martin,46.1,50.8,19.4,18.4,29.8,31.8,26.3,37.2,2022,0.286
Merrimack,48.6,49.1,18.5,22.6,22.5,36.2,26,33.9,2022,0.483
Albany,46.2,50.7,18.7,20.7,26.1,27.2,24.9,31.8,2022,0.419
Western Carolina,47.9,53.2,17.7,14.3,28.6,28.5,27.8,28.7,2022,0.355
Denver,52.7,52.4,18.6,16.5,23.7,28.1,32,32.2,2022,0.367
Cal Poly,46.1,48.1,22.6,17,27.3,26.9,36.3,36.8,2022,0.259
Northern Illinois,47.2,50.6,19.9,19.7,24.3,29.4,33,40.7,2022,0.300
Morgan St.,46.1,51.2,21.2,23.2,31.4,29.9,31,43.7,2022,0.542
Lehigh,52.1,49.3,19.2,14.7,21.5,26.4,25.1,31.8,2022,0.419
Binghamton,48.8,49.9,18.8,15.9,26.7,27.1,23.2,30.1,2022,0.444
North Alabama,43.2,50.2,17,18.9,25.5,29.9,23.8,40,2022,0.346
Eastern Michigan,48.2,51.6,19.2,16.9,23.3,28.4,29.8,29.3,2022,0.333
Stetson,48.8,53,19.5,16.1,28.2,27.5,25.6,26.8,2022,0.423
McNeese St.,48.6,52,22,17.7,33.2,28.9,37.5,40.2,2022,0.379
Western Michigan,49.3,53.4,20.3,15,27.2,32.3,24.3,29.8,2022,0.286
Florida A&M,46.1,48.2,18.7,18.5,25.7,34.4,29.8,38.9,2022,0.464
Robert Morris,50.9,53.1,20.8,16.9,28.2,32.2,28.2,28.9,2022,0.258
UTSA,43.6,54.3,17.6,17,29.5,25.8,25.4,33,2022,0.357
Sacramento St.,48.8,52.6,16.7,17.7,21.4,27.6,28.3,33.7,2022,0.407
Lafayette,50.6,53.7,16.4,17.2,22.4,30,20.9,25.8,2022,0.345
UT Rio Grande Valley,49.5,51.9,20.7,17.9,24.7,33.5,41.4,35.7,2022,0.276
North Carolina Central,47.7,50.5,23.8,22,32.6,30.5,37.8,43.4,2022,0.593
South Carolina St.,43.3,49.9,20.2,20.6,34.3,29,31.9,37.4,2022,0.536
Little Rock,47.9,56.3,20.3,20,23.5,30.6,32.3,31,2022,0.360
St. Francis NY,46,51.9,17.9,18.9,29.4,29.8,23.3,32.4,2022,0.345
Central Michigan,47.8,53,19.6,16.6,25.4,31.4,30.5,36,2022,0.233
Coppin St.,46,49.3,19.4,21.2,20.1,32,34.6,28.1,2022,0.281
Hampton,44.1,47.4,18,16.2,22.1,31,36.5,37.9,2022,0.346
Maryland Eastern Shore,45.4,51,22,23.8,27.3,29.9,31,35.8,2022,0.458
Bucknell,52.8,53.8,19.3,13.7,21.8,30,28.3,22.9,2022,0.281
Evansville,46.9,56.1,17.2,17.9,14.4,22.3,24.6,31,2022,0.207
Grambling St.,44.6,48.9,20,19.2,27.4,31.4,33.4,40.8,2022,0.400
Sacred Heart,50.8,53.2,19.6,15.7,30.8,31.3,24.9,25.5,2022,0.345
St. Francis PA,46.9,52.4,18.1,18.3,30.5,31.9,29.8,25.6,2022,0.310
Alabama St.,47.7,50.4,21.5,19.4,29.5,33.5,36.9,33.8,2022,0.333
Southern Miss,46.9,54.1,19.7,15.9,23.7,28.4,26.7,28.1,2022,0.226
Alabama A&M,41.3,46.3,19.6,19.6,28.7,31,33.5,28.6,2022,0.400
Idaho,50.2,54.6,18.5,14.5,23.3,26.3,33.8,33.9,2022,0.310
Idaho St.,47.4,53.2,21.1,16.7,27.6,27.5,33,35.2,2022,0.250
Green Bay,46.5,53,19.9,18.1,26.6,28.7,32,31.7,2022,0.172
Northern Arizona,47.9,53,20.4,13.8,28.9,23.5,27.7,34.1,2022,0.300
Milwaukee,47.7,47.5,19.6,14.9,25.9,30.1,28,29.1,2022,0.323
Cal St. Northridge,44.4,51.9,18.5,19.9,26.8,33,29.6,36.5,2022,0.250
Northwestern St.,49.5,53.2,20.1,17.1,27.8,32.2,25,34.1,2022,0.310
Bethune Cookman,45.4,51.5,19.7,20.4,27.9,30.9,28.8,35.5,2022,0.310
William & Mary,46,53.6,23.1,17.9,27.1,27.7,30.3,27.2,2022,0.161
American,49.6,53.3,20.2,17.4,25,29,25.6,28.9,2022,0.313
Chicago St.,45.9,53.6,22,18.6,31.6,32.2,29.3,38.5,2022,0.219
Houston Christian,48.8,55.3,20.6,19.1,29.3,27.2,37.8,37.8,2022,0.440
Charleston Southern,46.2,55.4,21.4,17.3,26.2,25.7,28.4,30,2022,0.214
NJIT,46.5,51,18.7,16.7,23.2,27.9,31,27,2022,0.393
North Dakota,47.2,56.3,17.5,13.6,26.8,25.8,31.6,30.5,2022,0.207
Fairleigh Dickinson,46.4,53.8,19.3,18.1,27.7,34.1,27.8,34.1,2022,0.154
Nebraska Omaha,49.3,56.3,19.3,14.7,24.6,30,28.3,37.4,2022,0.172
Lamar,44.5,52.9,21.5,17.8,30,31.7,26.2,38.5,2022,0.074
Holy Cross,45.1,53.2,18.2,17.6,27.3,29.4,28.6,30.8,2022,0.310
Arkansas Pine Bluff,46.6,55.5,19.5,18.7,24.8,36.3,33.6,34.6,2022,0.241
Mississippi Valley St.,44.5,56.7,18.1,20.7,23.4,33.9,31.4,36.5,2022,0.071
Incarnate Word,48.4,56.8,19.9,18,22.3,32.4,27.4,30,2022,0.241
Maine,46.9,54.9,19.3,18.3,24,30.4,20.4,32.8,2022,0.231
Columbia,48.5,54.8,21.5,16.4,27.5,28.8,26.1,25.1,2022,0.160
Central Connecticut,46,52.9,20.6,18.8,26.3,31.8,29.1,28.8,2022,0.250
Delaware St.,45,51.1,25.6,19.3,27,34.7,32.4,34.2,2022,0.080
Eastern Illinois,44.2,53.4,24.1,18.2,20.6,32.6,31.2,24.2,2022,0.172
IUPUI,42.4,52.8,26.1,20.5,30.1,33,24.9,37.5,2022,0.111
Kansas,52.6,47,17.5,20.2,28.7,28.7,29.8,31.1,2023,0.778
Purdue,51.8,47.2,17.2,15.4,38.4,23.5,37.2,19.2,2023,0.829
Alabama,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,2023,0.838
Houston,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,2023,0.892
Texas,53.3,48.1,16.3,22.1,28.3,29,30.5,33.7,2023,0.763
Marquette,56,51,15.3,22.5,26.2,31.7,27,29.1,2023,0.806
Arizona,56.5,47.1,18.4,16.9,30.7,26.1,35.8,25.5,2023,0.800
UCLA,51.1,46.8,14.9,23.3,33,28.2,27.4,27.5,2023,0.838
Kansas St.,52.3,48.1,19.3,21,29.9,30.3,36.1,36.3,2023,0.722
Gonzaga,57.6,51.4,14.8,17.8,31.2,25.6,34.1,26,2023,0.861
Baylor,53.2,51.6,17.9,19.9,34.4,30.9,36.8,31.3,2023,0.676
Xavier,55.2,50.3,17.2,16.2,30.8,25,31.4,27,2023,0.730
Connecticut,53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,2023,0.795
Indiana,53.5,47.2,16.8,16.3,28.1,29,29.5,29.8,2023,0.657
Virginia,51.2,48.3,13.6,19.5,25.6,24.9,34.7,26.3,2023,0.758
Tennessee,49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,2023,0.694
San Diego St.,49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,2023,0.842
Miami FL,54.3,51.2,16.1,18.1,31.8,28.8,30.7,24,2023,0.784
Saint Mary's,52,47.1,16.4,19.2,32.6,21.9,32,29.9,2023,0.794
Duke,51.1,46,18.3,16.5,35.9,26.1,29.9,23.7,2023,0.750
Creighton,54.2,47.1,16.6,13.9,25.3,23.5,28.4,19.7,2023,0.649
Kentucky,50.6,48.6,17.4,16.6,39.2,25,31.9,29.9,2023,0.647
TCU,50,48.1,16.7,21.6,32.2,30.5,34.1,30.1,2023,0.629
Iowa St.,49.9,49.9,19.6,25,33.9,26.5,27.9,40.8,2023,0.576
Northwestern,47.3,48.4,14.7,21.3,28.6,27.7,29.7,31.6,2023,0.647
Missouri,55,52.3,15.8,24,26.3,37.2,29.1,34.2,2023,0.714
Texas A&M,48.8,48.2,18.3,20.9,36.7,30.4,45.1,34.7,2023,0.714
Michigan St.,51.7,48.6,16.4,14.8,27.6,25.2,27.2,28,2023,0.618
Maryland,50.8,47.7,16.5,18.4,30,28.1,34.3,28.4,2023,0.629
Iowa,51.7,53.3,14,18.2,32.1,27.4,32.3,23.8,2023,0.576
Memphis,53,46.7,18.3,20.8,31.2,32.7,35.4,34.4,2023,0.743
Arkansas,50.9,47.2,18.1,20.5,30.8,27.9,39.3,39.5,2023,0.611
Florida Atlantic,54.3,46.1,16.9,17.7,31.4,25.4,29.6,26.3,2023,0.946
Auburn,49.5,45.7,17.7,18.9,32.8,32.4,36.3,38.9,2023,0.618
West Virginia,51.5,50.9,18.5,20.9,34,29.3,39.4,38.7,2023,0.559
Illinois,51.4,46.7,18.4,18.5,31.6,26.7,34.3,30.1,2023,0.606
Penn St.,55.4,49.1,13.7,13.1,19.2,25.6,21.3,25.5,2023,0.622
USC,51.2,45.4,18.1,17.9,28.8,32.7,33.2,30.2,2023,0.667
Boise St.,51.6,47.5,16.6,17.5,27.2,24,30.3,27.6,2023,0.727
Utah St.,55.5,48.1,17.6,15.8,27.4,24.5,34.9,30.3,2023,0.765
Pittsburgh,52.5,48.5,16.3,16.6,29.5,28.6,32.9,30.4,2023,0.667
