TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
UCF,49.2,47.1,21.3,13.4,31.3,30.5,37.2,25.1,2016,0.400
Connecticut,48.5,45.6,18.7,16.1,29.9,30.5,34.5,32,2017,0.500
East Carolina,45.8,44.7,20.8,17,30.7,31.1,37.4,27.2,2017,0.455
Houston,51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,2017,0.688
Memphis,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,2017,0.594
South Florida,47.7,51,23.5,19.1,30.6,34,30.7,40.1,2017,0.233
Temple,49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,2017,0.500
Tulane,46.4,53.7,18.8,19.7,29.3,32.5,34.3,40.8,2017,0.194
Tulsa,48.9,50.4,21.8,18.4,29.5,28.3,42.8,33.1,2017,0.469
UCF,50.4,42.7,22,14.7,32.6,25.5,39.9,22.3,2017,0.667
Connecticut,47.5,51.1,18.5,18.3,29.4,32.7,32.4,33.9,2018,0.438
East Carolina,48.3,51.5,20.6,17.3,27.8,32.5,28.7,31.1,2018,0.333
Memphis,50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,2018,0.618
SMU,52,49.5,18,21.7,32.7,31.7,30.5,30.6,2018,0.515
South Florida,48,51.1,21.4,16.5,28.8,30.6,33.1,32.6,2018,0.313
Temple,49.3,49.8,15.9,18.7,27.7,32.4,25.6,31.5,2018,0.515
Tulane,51.5,50.5,18.8,17.2,27.5,30,34.5,34.6,2018,0.452
Tulsa,50.7,49.5,18.6,17.9,32,29.6,41.6,25.3,2018,0.613
UCF,47.8,45.7,20.7,18.9,28.5,28.6,43.1,26.2,2018,0.594
Connecticut,51,49.6,18.5,20,32.3,30.2,32.7,39.2,2019,0.485
East Carolina,46.1,51,19,19.5,28.2,31,35.6,41.8,2019,0.323
Memphis,51,48.6,19.8,21.3,33.4,30.9,37.3,37.5,2019,0.611
SMU,51.2,50,16.6,17.5,33.4,31.6,27.8,29.5,2019,0.469
South Florida,49.1,48.4,22.6,21.9,36.3,26.8,48.1,43.1,2019,0.649
Tulane,47.1,50.6,21,15.1,27,30.9,32.8,31.6,2019,0.129
Tulsa,51.2,48.1,18,17.6,23,29.4,43.4,30.3,2019,0.563
Wichita St.,46.9,47.6,17.4,17.6,32.5,26.9,28.8,38.8,2019,0.595
Florida Gulf Coast,48.2,45.3,17.7,17.3,34.4,32.1,33.1,34.6,2015,0.633
Jacksonville,46.6,54.5,18.6,19.1,27.7,33.8,39.3,38.8,2015,0.241
Kennesaw St.,45.3,50.7,21.3,16.2,29.6,35.1,29.8,35.7,2015,0.267
Lipscomb,48.1,54.1,18.7,17.8,29.2,29.4,39.7,47,2015,0.393
Northern Kentucky,51.2,50.6,17.8,16.6,28.5,30,30,45.3,2015,0.393
Stetson,48.1,51.6,18.3,16.4,26.1,35.1,34.1,31.5,2015,0.214
USC Upstate,49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,2015,0.625
Jacksonville,49.7,53.6,15.4,17.4,27,26.1,31.4,33.5,2016,0.429
Kennesaw St.,48.7,53.2,18.5,18,28.3,34.6,33.5,39,2016,0.310
Lipscomb,51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,2016,0.323
NJIT,51.8,51.3,18.2,19.2,26.8,31.1,33.7,35.7,2016,0.559
North Florida,57.9,51.8,15.3,14.4,24.1,33.4,28.7,27.1,2016,0.613
Stetson,51.2,54.5,16.8,15.7,25.2,32.9,33.8,30.8,2016,0.267
USC Upstate,50.1,54.6,20.2,15.1,33.1,31.9,30.9,36.6,2016,0.250
Jacksonville,53.8,56.6,18.5,20.9,26.3,28.5,34.6,36.8,2017,0.586
Kennesaw St.,51.3,53.8,18.9,17.5,31.1,28.5,30.6,36.2,2017,0.467
Lipscomb,55,52,20.1,20.3,28.3,30.9,41.2,44.2,2017,0.667
NJIT,48.7,55.2,19.7,18.4,30.5,25.2,33.3,36.3,2017,0.379
North Florida,51.3,52.7,22.2,16.7,33.3,31.8,34.9,35,2017,0.500
Stetson,49.9,52.9,14.9,15.1,21.1,33,32.6,32.2,2017,0.379
USC Upstate,52.4,50.7,17.9,14.5,30.2,30.2,31.9,29.9,2017,0.586
Florida Gulf Coast,55.3,49.9,19.5,18.9,31.3,26.7,33.4,35.1,2018,0.719
Jacksonville,49,51.9,19.2,17.8,25.9,29.7,30,28.4,2018,0.517
Kennesaw St.,49.4,54.2,19.2,18.8,29.6,33.6,35,32.9,2018,0.357
NJIT,49.8,53,18.5,20.3,30,28.6,32.9,33.7,2018,0.500
North Florida,53.6,54,19.3,13.7,25,35,27.7,23.5,2018,0.467
Stetson,48.9,54.6,14.9,18.5,23.2,27.5,25,37,2018,0.429
